"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"reg_dist4","numeric","2","0","72.85","0","0.272","0","0","0","1","1","0.445"
"reg_distm","numeric","2","0","99.74","0","0.003","0","0","0","0","1","0.051"
"dist_type2","numeric","2","0","90.19","0","0.098","0","0","0","0","1","0.297"
"dist_type3","numeric","2","0","96.59","0","0.034","0","0","0","0","1","0.182"
"dist_type4","numeric","2","0","93.7","0","0.063","0","0","0","0","1","0.243"
"dist_type5","numeric","2","0","99.43","0","0.006","0","0","0","0","1","0.075"
"dist_typem","numeric","2","0","99.72","0","0.003","0","0","0","0","1","0.052"
"G10size1","numeric","2","0","80.94","0","0.191","0","0","0","0","1","0.393"
"G10size2","numeric","2","0","80.29","0","0.197","0","0","0","0","1","0.398"
"G10size3","numeric","2","0","82.51","0","0.175","0","0","0","0","1","0.38"
"G10size4","numeric","2","0","85.73","0","0.143","0","0","0","0","1","0.35"
"G10size5","numeric","2","0","86.49","0","0.135","0","0","0","0","1","0.342"
"G10size6","numeric","2","0","91.6","0","0.084","0","0","0","0","1","0.277"
"G10size7","numeric","2","0","92.76","0","0.072","0","0","0","0","1","0.259"
"G10sizem","numeric","2","0","99.69","0","0.003","0","0","0","0","1","0.055"
"ssize1","numeric","2","0","87.17","0","0.128","0","0","0","0","1","0.334"
"ssize2","numeric","2","0","87.66","0","0.123","0","0","0","0","1","0.329"
"ssize3","numeric","2","0","88.63","0","0.114","0","0","0","0","1","0.317"
"ssize4","numeric","2","0","88.02","0","0.12","0","0","0","0","1","0.325"
"ssize5","numeric","2","0","87.69","0","0.123","0","0","0","0","1","0.329"
"ssize6","numeric","2","0","85.6","0","0.144","0","0","0","0","1","0.351"
"ssize7","numeric","2","0","88.54","0","0.115","0","0","0","0","1","0.319"
"ssize8","numeric","2","0","93.11","0","0.069","0","0","0","0","1","0.253"
"ssizem","numeric","2","0","99.72","0","0.003","0","0","0","0","1","0.052"
"G9math1","numeric","2","0","99.59","0","0.004","0","0","0","0","1","0.064"
"G9math2","numeric","2","0","74.33","0","0.257","0","0","0","1","1","0.437"
"G9math3","numeric","2","0","78.66","0","0.213","0","0","0","0","1","0.41"
"G9math4","numeric","2","0","84.46","0","0.155","0","0","0","0","1","0.362"
"G9math5","numeric","2","0","83.45","0","0.165","0","0","0","0","1","0.372"
"G9math6","numeric","2","0","91.34","0","0.087","0","0","0","0","1","0.281"
"G9math7","numeric","2","0","95.03","0","0.05","0","0","0","0","1","0.217"
"G9math8","numeric","2","0","98.26","0","0.017","0","0","0","0","1","0.131"
"G9math9","numeric","2","0","99.03","0","0.01","0","0","0","0","1","0.098"
"G9mathm","numeric","2","0","99.82","0","0.002","0","0","0","0","1","0.042"
"G9eng1","numeric","2","0","99.48","0","0.005","0","0","0","0","1","0.072"
"G9eng2","numeric","2","0","72.13","0","0.279","0","0","0","1","1","0.448"
"G9eng3","numeric","2","0","75.19","0","0.248","0","0","0","0","1","0.432"
"G9eng4","numeric","2","0","80.68","0","0.193","0","0","0","0","1","0.395"
"G9eng5","numeric","2","0","86.72","0","0.133","0","0","0","0","1","0.339"
"G9eng6","numeric","2","0","93.59","0","0.064","0","0","0","0","1","0.245"
"G9eng7","numeric","2","0","97.65","0","0.024","0","0","0","0","1","0.152"
"G9eng8","numeric","2","0","99.14","0","0.009","0","0","0","0","1","0.092"
"G9eng9","numeric","2","0","99.63","0","0.004","0","0","0","0","1","0.061"
"G9engm","numeric","2","0","99.77","0","0.002","0","0","0","0","1","0.048"
"G9hist1","numeric","2","0","86.91","0","0.131","0","0","0","0","1","0.337"
"G9hist2","numeric","2","0","71.65","0","0.284","0","0","0","1","1","0.451"
"G9hist3","numeric","2","0","80.84","0","0.192","0","0","0","0","1","0.394"
"G9hist4","numeric","2","0","85.06","0","0.149","0","0","0","0","1","0.357"
"G9hist5","numeric","2","0","89.79","0","0.102","0","0","0","0","1","0.303"
"G9hist6","numeric","2","0","93.99","0","0.06","0","0","0","0","1","0.238"
"G9hist7","numeric","2","0","97.5","0","0.025","0","0","0","0","1","0.156"
"G9hist8","numeric","2","0","99.14","0","0.009","0","0","0","0","1","0.092"
"G9hist9","numeric","2","0","99.56","0","0.004","0","0","0","0","1","0.066"
"G9histm","numeric","2","0","99.45","0","0.006","0","0","0","0","1","0.074"
"G9sci1","numeric","2","0","98.2","0","0.018","0","0","0","0","1","0.133"
"G9sci2","numeric","2","0","74.34","0","0.257","0","0","0","1","1","0.437"
"G9sci3","numeric","2","0","77.62","0","0.224","0","0","0","0","1","0.417"
"G9sci4","numeric","2","0","82.32","0","0.177","0","0","0","0","1","0.382"
"G9sci5","numeric","2","0","85.77","0","0.142","0","0","0","0","1","0.349"
"G9sci6","numeric","2","0","91.83","0","0.082","0","0","0","0","1","0.274"
"G9sci7","numeric","2","0","96.51","0","0.035","0","0","0","0","1","0.184"
"G9sci8","numeric","2","0","98.47","0","0.015","0","0","0","0","1","0.123"
"G9sci9","numeric","2","0","99.29","0","0.007","0","0","0","0","1","0.084"
"G9scim","numeric","2","0","99.66","0","0.003","0","0","0","0","1","0.058"
"F12XRSTDm","numeric","2","0","99.84","0","0.002","0","0","0","0","1","0.04"
